NODES: 1327
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 2444
ELEMENTS_T6: 0
ELEMENTS_T10: 0                 
FORCES: 6
PRESSURES: 0
DISPLACEMENTS: 15

NODE X Y
1 -10.00000000 -1.00000000
2 -9.78947368 -1.00000000
3 -9.57894737 -1.00000000
4 -9.36842105 -1.00000000
5 -9.15789474 -1.00000000
6 -8.94736842 -1.00000000
7 -8.73684211 -1.00000000
8 -8.52631579 -1.00000000
9 -8.31578947 -1.00000000
10 -8.10526316 -1.00000000
11 -7.89473684 -1.00000000
12 -7.68421053 -1.00000000
13 -7.47368421 -1.00000000
14 -7.26315789 -1.00000000
15 -7.05263158 -1.00000000
16 -6.84210526 -1.00000000
17 -6.63157895 -1.00000000
18 -6.42105263 -1.00000000
19 -6.21052632 -1.00000000
20 -6.00000000 -1.00000000
21 -5.78947368 -1.00000000
22 -5.57894737 -1.00000000
23 -5.36842105 -1.00000000
24 -5.15789474 -1.00000000
25 -4.94736842 -1.00000000
26 -4.73684211 -1.00000000
27 -4.52631579 -1.00000000
28 -4.31578947 -1.00000000
29 -4.10526316 -1.00000000
30 -3.89473684 -1.00000000
31 -3.68421053 -1.00000000
32 -3.47368421 -1.00000000
33 -3.26315789 -1.00000000
34 -3.05263158 -1.00000000
35 -2.84210526 -1.00000000
36 -2.63157895 -1.00000000
37 -2.42105263 -1.00000000
38 -2.21052632 -1.00000000
39 -2.00000000 -1.00000000
40 -1.78947368 -1.00000000
41 -1.57894737 -1.00000000
42 -1.36842105 -1.00000000
43 -1.15789474 -1.00000000
44 -0.94736842 -1.00000000
45 -0.73684211 -1.00000000
46 -0.52631579 -1.00000000
47 -0.31578947 -1.00000000
48 -0.10526316 -1.00000000
49 0.10526316 -1.00000000
50 0.31578947 -1.00000000
51 0.52631579 -1.00000000
52 0.73684211 -1.00000000
53 0.94736842 -1.00000000
54 1.15789474 -1.00000000
55 1.36842105 -1.00000000
56 1.57894737 -1.00000000
57 1.78947368 -1.00000000
58 2.00000000 -1.00000000
59 2.21052632 -1.00000000
60 2.42105263 -1.00000000
61 2.63157895 -1.00000000
62 2.84210526 -1.00000000
63 3.05263158 -1.00000000
64 3.26315789 -1.00000000
65 3.47368421 -1.00000000
66 3.68421053 -1.00000000
67 3.89473684 -1.00000000
68 4.10526316 -1.00000000
69 4.31578947 -1.00000000
70 4.52631579 -1.00000000
71 4.73684211 -1.00000000
72 4.94736842 -1.00000000
73 5.15789474 -1.00000000
74 5.36842105 -1.00000000
75 5.57894737 -1.00000000
76 5.78947368 -1.00000000
77 6.00000000 -1.00000000
78 6.21052632 -1.00000000
79 6.42105263 -1.00000000
80 6.63157895 -1.00000000
81 6.84210526 -1.00000000
82 7.05263158 -1.00000000
83 7.26315789 -1.00000000
84 7.47368421 -1.00000000
85 7.68421053 -1.00000000
86 7.89473684 -1.00000000
87 8.10526316 -1.00000000
88 8.31578947 -1.00000000
89 8.52631579 -1.00000000
90 8.73684211 -1.00000000
91 8.94736842 -1.00000000
92 9.15789474 -1.00000000
93 9.36842105 -1.00000000
94 9.57894737 -1.00000000
95 9.78947368 -1.00000000
96 10.00000000 -1.00000000
97 10.00000000 -0.77777778
98 10.00000000 -0.55555556
99 10.00000000 -0.33333333
100 10.00000000 -0.11111111
101 10.00000000 0.11111111
102 10.00000000 0.33333333
103 10.00000000 0.55555556
104 10.00000000 0.77777778
105 10.00000000 1.00000000
106 9.78947368 1.00000000
107 9.57894737 1.00000000
108 9.36842105 1.00000000
109 9.15789474 1.00000000
110 8.94736842 1.00000000
111 8.73684211 1.00000000
112 8.52631579 1.00000000
113 8.31578947 1.00000000
114 8.10526316 1.00000000
115 7.89473684 1.00000000
116 7.68421053 1.00000000
117 7.47368421 1.00000000
118 7.26315789 1.00000000
119 7.05263158 1.00000000
120 6.84210526 1.00000000
121 6.63157895 1.00000000
122 6.42105263 1.00000000
123 6.21052632 1.00000000
124 6.00000000 1.00000000
